期号,开奖日期,第1位结果,第2位结果,第3位结果,跨度,和值,杀码公式,杀码,杀码正确,杀码情况,形态,形态预测,形态预测正确,形态情况,十位,个位,和,独胆,独胆正确,独胆情况,直选中奖注数,直选中奖奖金,组3中奖注数,组3中奖奖金,组六中奖注数,组六中奖金额,总销售额,开奖公告
24076,2024-3-26,9,6,8,3,23,15576,5,TRUE,,组六,组六,TRUE,,7,6,13,3,FALSE,,"16,984","1,040",0,346,"36,075",173,"50,611,750",https://pdf.sporttery.cn/28200/24076/24076.pdf
24075,2024-3-25,2,8,5,6,15,34496,4,TRUE,,组六,组六,TRUE,,9,6,15,5,TRUE,,"10,679","1,040",0,346,"38,119",173,"50,884,348",https://pdf.sporttery.cn/28200/24075/24075.pdf
24074,2024-3-24,6,2,9,7,17,32351,2,FALSE,,组六,组六,TRUE,,5,1,6,6,TRUE,,"17,349","1,040",0,346,"50,695",173,"50,115,276",https://pdf.sporttery.cn/28200/24074/24074.pdf
24073,2024-3-23,5,9,0,9,14,18656,8,TRUE,,组六,组六,TRUE,,5,6,11,1,FALSE,,"11,764","1,040",0,346,"38,182",173,"46,551,372",https://pdf.sporttery.cn/28200/24073/24073.pdf
24072,2024-3-22,3,4,1,3,8,14091,4,FALSE,,组六,组六,TRUE,,9,1,10,0,FALSE,,"10,237","1,040",0,346,"41,306",173,"48,912,974",https://pdf.sporttery.cn/28200/24072/24072.pdf
24071,2024-3-21,2,5,8,6,15,48906,8,FALSE,,组六,组六,TRUE,,0,6,6,6,FALSE,,"27,123","1,040",0,346,"70,070",173,"44,965,836",https://pdf.sporttery.cn/28200/24071/24071.pdf
24070,2024-3-20,8,9,1,8,18,22506,2,TRUE,,组六,组六,TRUE,,0,6,6,6,FALSE,,"8,964","1,040",0,346,"40,286",173,"45,883,198",https://pdf.sporttery.cn/28200/24070/24070.pdf
24069,2024-3-19,4,1,1,3,6,13046,3,TRUE,,组三,组六,FALSE,,4,6,10,0,FALSE,,"15,565","1,040","29,612",346,0,173,"49,375,632",https://pdf.sporttery.cn/28200/24069/24069.pdf
24068,2024-3-18,2,3,9,7,14,30096,0,TRUE,,组六,组六,TRUE,,9,6,15,5,FALSE,,"9,734","1,040",0,346,"29,932",173,"47,963,884",https://pdf.sporttery.cn/28200/24068/24068.pdf
24067,2024-3-17,5,4,9,5,18,44066,4,FALSE,,组六,组六,TRUE,,6,6,12,2,FALSE,,"18,731","1,040",0,346,"33,855",173,"44,098,910",https://pdf.sporttery.cn/28200/24067/24067.pdf
24066,2024-3-16,8,0,3,8,11,49566,9,TRUE,,组六,组六,TRUE,,6,6,12,2,FALSE,,"9,541","1,040",0,346,"26,157",173,"43,657,460",https://pdf.sporttery.cn/28200/24066/24066.pdf
24065,2024-3-15,9,0,3,9,12,7161,1,TRUE,,组六,组六,TRUE,,6,1,7,7,FALSE,,"18,044","1,040",0,346,"32,877",173,"47,528,978",https://pdf.sporttery.cn/28200/24065/24065.pdf
24064,2024-3-14,1,3,2,2,6,35706,5,TRUE,,组六,组六,TRUE,,0,6,6,6,FALSE,,"15,974","1,040",0,346,"41,051",173,"46,048,240",https://pdf.sporttery.cn/28200/24064/24064.pdf
24063,2024-3-13,6,5,1,5,12,43021,3,TRUE,,组六,组六,TRUE,,2,1,3,3,FALSE,,"19,912","1,040",0,346,"63,018",173,"47,127,942",https://pdf.sporttery.cn/28200/24063/24063.pdf
